,sst,sst_lag_1d,sst_lag_2d,sst_lag_4d,sst_lag_7d,tp_mm_daily,tp_mm_daily_lag_1d,tp_mm_daily_lag_2d,tp_mm_daily_lag_4d,tp_mm_daily_lag_7d,mhw,mhw_lag_1d,mhw_lag_2d,mhw_lag_4d,mhw_lag_7d,sst_anom,sst_anom_lag_1d,sst_anom_lag_2d,sst_anom_lag_4d,sst_anom_lag_7d,tsm,tsm_lag_1d,tsm_lag_2d,tsm_lag_4d,tsm_lag_7d,chl,land_cov_near,ecoli_2class
58793,16.290009,16.339996,16.119995,16.029999,15.899994,0.0076293945,0.01001358,0.12683868,0.024795532,8.239746,0.0,0.0,0.0,0.0,0.0,-0.29052734,-0.2678833,-0.5468445,-0.64105225,-0.7642212,0.4805542528629303,0.5668445825576782,0.43433281779289246,0.3602775037288666,0.3956259489059448,1.4615334272384644,10,Good
64824,19.980011,20.01001,19.850006,19.809998,19.920013,0.111579895,0.7362366,0.20647049,0.81539154,0.579834,2.0,2.0,2.0,2.0,2.0,2.4284363,2.4642334,2.2799988,2.1931458,2.2426453,3.2566912174224854,7.917036056518555,4.864221096038818,3.0839996337890625,1.8791821002960205,2.5447750091552734,200,Good
73856,14.929993,13.940002,13.880005,13.920013,13.820007,0.094890594,0.37622452,3.1366348,9.602547,0.6837845,0.0,0.0,0.0,0.0,0.0,0.7020874,-0.21157837,-0.19631958,0.06845093,0.2673645,0.21620310842990875,1.1486178636550903,0.33926263451576233,0.33718061447143555,0.41824427247047424,0.6422169208526611,210,Good
67509,15.070007,14.899994,14.899994,13.980011,13.880005,0.0,0.0,0.009059906,0.14638901,0.0038146973,0.0,0.0,0.0,0.0,0.0,0.19421387,0.12524414,0.215271,-0.50735474,-0.32104492,19.14268684387207,32.440555572509766,38.77310562133789,28.229841232299805,32.23579025268555,9.437004089355469,210,Good
47213,12.700012,12.649994,12.639984,12.399994,11.799988,0.0,0.0,0.0,0.10728836,12.828827,1.0,1.0,1.0,1.0,1.0,1.2142334,1.2594604,1.3536682,1.2726135,0.92736816,2.9478280544281006,2.9086434841156006,3.0530686378479004,2.146946430206299,2.7028045654296875,3.797464609146118,190,Good
8668,12.359985,12.220001,12.339996,12.130005,11.119995,2.3498535,0.0,0.0,0.0,0.05054474,0.0,0.0,0.0,0.0,0.0,-0.39263916,-0.48736572,-0.26843262,-0.3352661,-1.1273804,0.26417484879493713,0.48196473717689514,0.4994135797023773,0.47490033507347107,0.7800549864768982,0.712708592414856,200,Good
77834,16.359985,16.369995,16.200012,16.339996,15.820007,0.0,0.0,0.00047683716,0.600338,1.3494492,1.0,1.0,1.0,0.0,0.0,0.84747314,0.83950806,0.6870117,0.7795105,0.21652222,0.3773428201675415,0.3071877658367157,0.3888910710811615,0.44468167424201965,0.4109061360359192,0.971909761428833,200,Good
47221,12.450012,12.440002,12.350006,12.029999,11.690002,0.0,0.0,0.0,0.33473969,1.0938644,1.0,1.0,1.0,1.0,1.0,1.1915894,1.2805176,1.2757874,1.126831,1.0257874,2.567039966583252,1.405178427696228,2.397711992263794,2.1498122215270996,2.68013596534729,5.3137898445129395,180,Good
67505,16.51001,16.350006,15.889984,15.029999,14.959991,0.0,0.0,0.0,0.013828278,0.0,1.0,0.0,0.0,0.0,0.0,1.3468628,1.2337036,0.814209,0.09790039,0.32843018,24.138099670410156,29.888168334960938,37.835208892822266,23.684436798095703,34.60284423828125,25.212566375732422,210,Good
64038,17.230011,16.600006,16.070007,16.0,15.980011,0.0,0.0,0.00047683716,0.023841858,0.1578331,1.0,1.0,1.0,1.0,1.0,2.452118,1.8184204,1.3057861,1.3326416,1.552124,0.8319671750068665,0.5170450806617737,0.4957388937473297,0.5024202466011047,1.7678382396697998,1.5967224836349487,190,Good
62894,21.470001,21.389984,20.730011,20.179993,19.670013,0.035762787,0.85544586,0.26130676,0.0,0.00047683716,1.0,1.0,1.0,1.0,1.0,3.7247314,3.6747131,3.080536,2.649475,2.4510803,2.516716718673706,4.1093549728393555,2.3487229347229004,3.099661111831665,2.485781192779541,9.884716987609863,190,Good
75728,14.75,14.459991,14.130005,13.709991,13.809998,0.0,0.02670288,0.0,1.7466545,0.9622574,0.0,0.0,0.0,0.0,0.0,-0.049468994,-0.33999634,-0.65841675,-0.94317627,-0.6842041,0.9113110899925232,1.1815389394760132,1.2771633863449097,0.1632571667432785,0.1962834745645523,2.0493826866149902,11,Good
7314,9.940002,9.869995,9.660004,9.029999,8.670013,1.6307831,0.0,0.0042915344,0.0023841858,0.0,0.0,0.0,0.0,0.0,0.0,-0.72473145,-0.7468567,-0.8184204,-1.3442078,-1.4915771,0.5880703926086426,1.285300374031067,0.649167001247406,1.3202472925186157,1.660523772239685,0.7643725872039795,11,Good
43536,17.880005,17.690002,18.049988,17.950012,17.070007,0.0,0.05054474,0.015258789,0.0,0.0019073486,2.0,2.0,2.0,1.0,1.0,2.1705322,2.0815735,2.577362,2.5168457,1.9168396,4.362141132354736,3.0932960510253906,2.3644580841064453,9.24993896484375,10.511073112487793,8.046295166015625,190,Good
80400,13.26001,13.149994,13.109985,13.570007,13.709991,2.193451,1.2412071,0.0,0.25749207,8.234501,0.0,0.0,0.0,0.0,1.0,0.090545654,0.009979248,-0.0005493164,0.5957947,0.96261597,0.8503528833389282,0.6546453833580017,0.4688757658004761,0.890899658203125,0.5168886780738831,3.035508155822754,200,Good
51661,19.109985,19.200012,19.279999,18.970001,18.529999,0.15974045,1.3933182,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.4752502,1.5236816,1.6141968,1.2315674,0.8826294,1.1191439628601074,2.1092965602874756,2.039851427078247,1.869376540184021,7.639141082763672,1.4537107944488525,190,Caution
67331,15.309998,14.980011,14.929993,14.980011,14.829987,0.0009536743,0.00047683716,0.0,0.0,0.016212463,2.0,2.0,2.0,1.0,1.0,2.0689392,1.816864,1.8920898,2.149475,2.2736816,0.9535845518112183,0.7659196257591248,0.667529821395874,2.705263376235962,0.7022202610969543,2.616504430770874,200,Good
